@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE season NUMERIC
@ATTRIBUTE commentCount NUMERIC
@ATTRIBUTE greatComment NUMERIC
@ATTRIBUTE goodComment NUMERIC
@ATTRIBUTE badComment NUMERIC
@ATTRIBUTE location NUMERIC

@DATA
5271515,5426406,3,20150903074905,09,227,155,49,23,42
74105497,5426406,3,20150902132037,09,227,155,49,23,42
46598822,5426406,3,20150828123922,08,227,155,49,23,42
17593833,907218,4,20150915083827,09,179,133,38,8,42
81681222,907218,4,20150908103835,09,179,133,38,8,42
43982624,907218,3,20150907194757,09,179,133,38,8,42
37944733,907218,4,20150901200121,09,179,133,38,8,42
66655384,907218,3,20150830215020,08,179,133,38,8,42
38414573,907218,3,20150828110527,08,179,133,38,8,42
75440927,907218,4,20150812114406,08,179,133,38,8,42
19802176,907218,5,20150812095001,08,179,133,38,8,42
49541026,907218,3,20150807093144,08,179,133,38,8,42
51502750,907218,4,20150803125706,08,179,133,38,8,42
79365339,907218,4,20150729204811,07,179,133,38,8,42
36759789,907218,5,20150616102105,06,179,133,38,8,42
73471309,907218,5,20150615141813,06,179,133,38,8,42
56801522,907218,5,20150611181242,06,179,133,38,8,42
90391579,907218,3,20150606145754,06,179,133,38,8,42
91617963,5438838,4,20160120084123,01,356,241,95,20,42
460831,5438838,5,20160119082541,01,356,241,95,20,42
93019903,5438838,5,20160117213635,01,356,241,95,20,42
91680837,5438838,5,20151227225952,12,356,241,95,20,42
33731165,5438838,3,20151212172026,12,356,241,95,20,42
745228,5438838,3,20151208162101,12,356,241,95,20,42
17594245,5438838,3,20151207202659,12,356,241,95,20,42
54187536,5438838,5,20151206135013,12,356,241,95,20,42
39678516,5438838,4,20151205132000,12,356,241,95,20,42
59779587,5438838,2,20151204124619,12,356,241,95,20,42
92705534,5438838,4,20151203204542,12,356,241,95,20,42
17448152,5438838,5,20151202103417,12,356,241,95,20,42
90321146,5438838,4,20151129112806,11,356,241,95,20,42
59758796,5438838,4,20151129102319,11,356,241,95,20,42
19493853,5438838,5,20151124083953,11,356,241,95,20,42
56986319,5438478,4,20170402233602,04,7,6,1,0,9
91617963,5438478,4,20160223220737,02,7,6,1,0,9
75675768,5438478,5,20160118085245,01,7,6,1,0,9
77855846,5438478,5,20150802153240,08,7,6,1,0,9
17080872,5438478,3,20140910100224,09,7,6,1,0,9
17269693,5438478,5,20131128093211,11,7,6,1,0,9
19313695,5438478,4,20131117182553,11,7,6,1,0,9
62843418,10433,4,20170819231518,08,360,264,68,28,9
86311489,10433,1,20170816214613,08,360,264,68,28,9
69109340,10433,2,20170724211422,07,360,264,68,28,9
851697,10433,4,20170627131225,06,360,264,68,28,9
76225010,10433,5,20170619164008,06,360,264,68,28,9
58624968,10433,3,20170514225716,05,360,264,68,28,9
91518750,10433,4,20170901152233,09,360,264,68,28,9
82811679,10433,4,20170823194745,08,360,264,68,28,9
93814475,10433,3,20170822192949,08,360,264,68,28,9
74761613,10433,5,20170818115326,08,360,264,68,28,9
30155260,10433,2,20170817113355,08,360,264,68,28,9
45073718,10433,2,20170810101713,08,360,264,68,28,9
83283262,10433,5,20170807085951,08,360,264,68,28,9
82769616,10433,1,20170801210903,08,360,264,68,28,9
333674,10433,3,20170713232401,07,360,264,68,28,9
41050573,5438819,5,20160215141207,02,249,212,36,1,9
62912917,5438819,4,20160126001429,01,249,212,36,1,9
81362210,5438819,5,20160122142140,01,249,212,36,1,9
91617963,5438819,4,20160119090803,01,249,212,36,1,9
92866242,5438819,4,20160118093520,01,249,212,36,1,9
83926726,5438819,5,20160115184333,01,249,212,36,1,9
64940674,5438819,5,20160104194634,01,249,212,36,1,9
91680837,5438819,5,20151227225954,12,249,212,36,1,9
92754973,5438819,3,20151224132839,12,249,212,36,1,9
5521536,5438819,5,20151210022224,12,249,212,36,1,9
17594245,5438819,4,20151207202701,12,249,212,36,1,9
51495123,5438819,5,20151206102827,12,249,212,36,1,9
39678516,5438819,4,20151206065318,12,249,212,36,1,9
92722270,5438819,5,20151204223307,12,249,212,36,1,9
92702647,5438819,4,20151203165618,12,249,212,36,1,9
934345,5426406,4,20151013201942,10,227,155,49,23,9
52268437,5426406,5,20151013110356,10,227,155,49,23,9
5408422,5426406,5,20151011132904,10,227,155,49,23,9
83552457,5426406,4,20151008222207,10,227,155,49,23,9
67693751,5426406,5,20151008153612,10,227,155,49,23,9
43329930,5426406,4,20151007174904,10,227,155,49,23,9
72745782,5426406,2,20151007171038,10,227,155,49,23,9
67296102,5426406,4,20151006013235,10,227,155,49,23,9
66907662,5426406,4,20151005233033,10,227,155,49,23,9
462243,5426406,4,20151005205115,10,227,155,49,23,9
17056087,5426406,3,20151004005029,10,227,155,49,23,9
17639912,5426406,3,20151002201741,10,227,155,49,23,9
47612709,5426406,4,20151001162553,10,227,155,49,23,9
55050711,5426406,2,20150929014427,09,227,155,49,23,9
247109,5426406,5,20150927101516,09,227,155,49,23,9
268516,9586,4,20130729134646,07,356,235,95,26,68
17450201,9586,2,20120925204814,09,356,235,95,26,68
367237,9586,4,20120731133451,07,356,235,95,26,68
12953,9586,5,20120708050325,07,356,235,95,26,68
251396,9586,5,20120609083045,06,356,235,95,26,68
411685,9586,5,20120601062206,06,356,235,95,26,68
468624,9586,4,20120423024513,04,356,235,95,26,68
292337,9586,4,20120402154911,04,356,235,95,26,68
462357,9586,4,20120229181801,02,356,235,95,26,68
462385,9586,5,20111226224344,12,356,235,95,26,68
7798971,9586,5,20110428123321,04,356,235,95,26,68
39813882,907218,5,20151025091727,10,179,133,38,8,68
90211531,907218,4,20151022141557,10,179,133,38,8,68
77270551,907218,3,20151019141809,10,179,133,38,8,68
60922166,907218,4,20151015154349,10,179,133,38,8,68
81187403,907218,5,20151010194042,10,179,133,38,8,68
17599050,907218,5,20151007234608,10,179,133,38,8,68
82371867,907218,4,20151006114051,10,179,133,38,8,68
